"TOA5","19171","CR1000X","19171","CR1000X.Std.04.02","CPU:GEMINI_weatherstation_2023.CR1X","64682","Table1"
"TIMESTAMP","RECORD","AirTC","RH","PanelT","PPF","windSpeed","windDirection","GustWindSpeed","AirTemp","XOrientation","YOrientation","CompassHeading","N_Wind","E_Wind","GustWindSpeed2"
"TS","RN","Deg C","%","","","m/s","Â°","m/s","Â°C","Â°","Â°","Â°","m/s","m/s","m/s"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-09-02 00:00:05",977459,15.89,82.1,0,0.002,1.7,186.8,1.7,15.9,0.8,0.5,0,-1.68,-0.2,1.7
"2023-09-02 00:00:10",977460,15.87,82.2,0,0.002,2,180.4,2,15.9,0.7,0.5,0,-2,-0.01,2
"2023-09-02 00:00:15",977461,15.84,82.2,0,0.002,3.2,179.6,3.2,16,0.9,0.7,0,-3.2,0.03,3.2
"2023-09-02 00:00:20",977462,15.82,82.2,0,0.002,2.92,209.3,2.92,16,0.8,0.8,0,-2.54,-1.43,2.92
"2023-09-02 00:00:25",977463,15.8,82.2,0,0.002,1.97,177.8,1.97,16,0.8,0.9,0,-1.97,0.08,1.97
"2023-09-02 00:00:30",977464,15.8,82.1,0,0.002,2.78,190.9,2.78,16,1,0.3,0,-2.73,-0.52,2.78
"2023-09-02 00:00:35",977465,15.8,82.1,0,0.001,2.29,179.7,2.29,16,0.9,0.5,0,-2.29,0.01,2.29
"2023-09-02 00:00:40",977466,15.8,82.1,0,0.001,2.61,187.9,2.61,16.1,0.7,0.4,0,-2.58,-0.36,2.61
"2023-09-02 00:00:45",977467,15.8,82,0,0.001,2.21,176,2.21,16,0.9,0.7,0,-2.2,0.16,2.21
"2023-09-02 00:00:50",977468,15.8,81.9,0,0.001,1.66,184.3,1.66,16,0.6,0.8,0,-1.65,-0.12,1.66
"2023-09-02 00:00:55",977469,15.8,81.8,0,0.002,1.38,173.7,1.38,15.9,0.7,0.6,0,-1.38,0.15,1.38
"2023-09-02 00:01:00",977470,15.8,81.8,0,0.002,3.01,182.9,3.01,16,0.7,0.8,0,-3.01,-0.15,3.01
"2023-09-02 00:01:05",977471,15.8,81.8,0,0.001,2.57,195.8,2.57,16,0.8,0.5,0,-2.47,-0.7,2.57
"2023-09-02 00:01:10",977472,15.8,81.9,0,0.002,2.88,180.5,2.88,16.1,0.7,0.6,0,-2.88,-0.03,2.88
"2023-09-02 00:01:15",977473,15.8,81.9,0,0.001,2.14,195.3,2.14,16,1.1,0.7,0,-2.06,-0.57,2.14
"2023-09-02 00:01:20",977474,15.8,81.8,0,0.002,1.78,182.5,1.78,15.9,0.6,0.6,0,-1.78,-0.08,1.78
"2023-09-02 00:01:25",977475,15.8,81.8,0,0.002,1.65,190,1.65,15.9,0.8,0.4,0,-1.62,-0.29,1.65
"2023-09-02 00:01:30",977476,15.8,81.8,0,0.001,0.89,185.8,0.89,16,0.8,0.5,0,-0.89,-0.09,0.89
"2023-09-02 00:01:35",977477,15.82,81.8,0,0.002,1.93,199.1,1.93,16,0.7,0.7,0,-1.82,-0.63,1.93
"2023-09-02 00:01:40",977478,15.82,81.8,0,0.002,1.86,198.1,1.86,16,0.9,0.5,0,-1.76,-0.58,1.86
"2023-09-02 00:01:45",977479,15.82,81.7,0,0.002,1.39,180.1,1.39,15.9,0.8,0.7,0,-1.39,0,1.39
"2023-09-02 00:01:50",977480,15.82,81.7,0,0.002,0.94,216.6,0.94,15.9,0.7,0.5,0,-0.75,-0.56,0.94
"2023-09-02 00:01:55",977481,15.83,81.6,0,0.002,1.09,195.8,1.09,15.8,0.7,0.7,0,-1.05,-0.3,1.09
"2023-09-02 00:02:00",977482,15.82,81.6,0,0.001,1.08,182.1,1.08,15.8,0.9,0.8,0,-1.08,-0.04,1.08
"2023-09-02 00:02:05",977483,15.82,81.6,0,0.002,1.77,231.6,1.77,15.8,0.8,0.6,0,-1.1,-1.39,1.77
"2023-09-02 00:02:10",977484,15.82,81.6,0,0.002,2.2,165.8,2.2,15.9,1,0.7,0,-2.14,0.54,2.2
"2023-09-02 00:02:15",977485,15.82,81.7,0,0.001,2.15,189.1,2.15,16,0.8,0.8,0,-2.13,-0.34,2.15
"2023-09-02 00:02:20",977486,15.82,81.8,0,0.001,2.35,182.2,2.35,16,0.8,0.7,0,-2.35,-0.09,2.35
"2023-09-02 00:02:25",977487,15.83,81.8,0,0.002,2.57,199.7,2.57,16,0.9,0.5,0,-2.42,-0.87,2.57
"2023-09-02 00:02:30",977488,15.82,81.8,0,0.001,2.32,185.1,2.32,16,0.7,0.7,0,-2.31,-0.2,2.32
"2023-09-02 00:02:35",977489,15.83,81.7,0,0.001,0.53,195.9,0.53,16,0.9,0.5,0,-0.51,-0.14,0.53
"2023-09-02 00:02:40",977490,15.82,81.7,0,0.002,2.77,180.5,2.77,16,0.8,0.5,0,-2.77,-0.03,2.77
"2023-09-02 00:02:45",977491,15.84,81.7,0,0.002,1.88,191.2,1.88,15.9,0.9,0.7,0,-1.85,-0.37,1.88
"2023-09-02 00:02:50",977492,15.84,81.7,0,0.002,1.89,191,1.89,15.9,0.7,0.6,0,-1.86,-0.36,1.89
"2023-09-02 00:02:55",977493,15.84,81.7,0,0.001,1.75,204,1.75,15.9,0.9,0.6,0,-1.6,-0.71,1.75
"2023-09-02 00:03:00",977494,15.85,81.6,0,0.002,1.24,204.9,1.24,15.9,0.9,0.5,0,-1.13,-0.52,1.24
"2023-09-02 00:03:05",977495,15.84,81.6,0,0.002,1.05,174.2,1.05,15.9,0.9,0.6,0,-1.04,0.11,1.05
"2023-09-02 00:03:10",977496,15.84,81.6,0,0.002,1.13,161.5,1.13,15.8,0.9,0.6,0,-1.07,0.36,1.13
"2023-09-02 00:03:15",977497,15.84,81.6,0,0.002,0.94,189,0.94,15.8,0.8,0.6,0,-0.93,-0.15,0.94
"2023-09-02 00:03:20",977498,15.84,81.6,0,0.002,1.43,204.8,1.43,15.8,0.9,0.7,0,-1.29,-0.6,1.43
"2023-09-02 00:03:25",977499,15.84,81.6,0,0.002,1.71,168.9,1.71,15.8,0.7,0.6,0,-1.68,0.33,1.71
"2023-09-02 00:03:30",977500,15.84,81.6,0,0.002,0.75,207.4,0.75,15.9,0.9,0.7,0,-0.67,-0.35,0.75
"2023-09-02 00:03:35",977501,15.84,81.6,0,0.002,2.11,175.1,2.11,15.9,0.5,0.8,0,-2.1,0.18,2.11
"2023-09-02 00:03:40",977502,15.84,81.7,0,0.001,1.67,182.3,1.67,15.9,0.8,0.7,0,-1.67,-0.07,1.67
"2023-09-02 00:03:45",977503,15.84,81.8,0,0.002,2.22,173.4,2.22,16,0.9,0.5,0,-2.21,0.26,2.22
"2023-09-02 00:03:50",977504,15.84,81.8,0,0.001,1.66,195.1,1.66,16,0.7,0.8,0,-1.6,-0.43,1.66
"2023-09-02 00:03:55",977505,15.84,81.9,0,0.002,2.02,197.4,2.02,16,1,0.3,0,-1.92,-0.6,2.02
"2023-09-02 00:04:00",977506,15.84,81.9,0,0.002,2.09,191.8,2.09,16,0.7,0.5,0,-2.05,-0.43,2.09
"2023-09-02 00:04:05",977507,15.84,81.8,0,0.002,1.33,182.2,1.33,16,0.8,0.5,0,-1.33,-0.05,1.33
"2023-09-02 00:04:10",977508,15.84,81.8,0,0.001,1.24,181.8,1.24,15.9,0.5,0.5,0,-1.24,-0.04,1.24
